,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,avatar,Action Adventure Fantasy Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
1,pirates of the caribbean at world's end,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
2,spectre,Action Adventure Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
3,the dark knight rises,Action Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
5,john carter,Action Adventure Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
6,spider man 3,Action Adventure Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Romance
7,tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
8,avengers age of ultron,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
9,harry potter and the half blood prince,Adventure Family Fantasy Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
10,batman 5 superman dawn of justice,Action Adventure Sci-Fi,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
11,superman returns,Action Adventure Sci-Fi,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
12,quantum of solace,Action Adventure,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
13,pirates of the caribbean dead man's chest,Action Adventure Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
14,the lone ranger,Action Adventure Western,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
15,man of steel,Action Adventure Fantasy Sci-Fi,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
16,the chronicles of narnia prince caspian,Action Adventure Family Fantasy,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
17,the avengers,Action Adventure Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
18,pirates of the caribbean on stranger tides,Action Adventure Fantasy,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
19,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
20,the hobbit the battle of the five armies,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
21,the amazing spider man,Action Adventure Fantasy,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
22,robin hood,Action Adventure Drama History,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
23,the hobbit the desolation of smaug,Adventure Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
