,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,Top Gun: Maverick,Action Drama,nan,nan,,,
1,Avatar: The Way of Water*,Science Fiction Adventure Action,nan,nan,,,
2,Black Panther: Wakanda Forever,Action Adventure Science Fiction,nan,nan,,,
3,Doctor Strange in the Multiverse of Madness,Fantasy Action Adventure,nan,nan,,,
4,Jurassic World Dominion,Adventure Action Science Fiction,nan,nan,,,
5,Minions: The Rise of Gru,Animation Comedy Family,nan,nan,,,
6,The Batman,Crime Mystery Thriller,nan,nan,,,
7,Thor: Love and Thunder,Fantasy Action Comedy,nan,nan,,,
8,Sonic the Hedgehog 2,Action Adventure Family Comedy,nan,nan,,,
9,Puss in Boots: The Last Wish*,Animation Family Fantasy Adventure Comedy Drama,nan,nan,,,
10,The 355,Action Thriller,Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Jessica Chastain Lupita Nyong'o Penélope Cruz Simon Kinberg Action Thriller
11,The Legend of La Llorona,Family Animation Fantasy Horror,Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,Autumn Reeser Antonio Cupo Danny Trejo Patricia Harris Seeley Family Animation Fantasy Horror
12,The Commando,Action Crime Thriller,Asif Akbar,Mickey Rourke,Michael Jai White,,
13,American Siege,Action Adventure Thriller,Edward Drake,Timothy V. Murphy,Bruce Willis,,
14,Scream,Horror Mystery Thriller,"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,"Melissa Barrera Mason Gooding Jenna Ortega Matt Bettinelli-Olpin, Tyler Gillett Horror Mystery Thriller"
15,Hotel Transylvania: Transformania,Animation Comedy Family Fantasy Adventure,"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,"Andy Samberg Selena Gomez Kathryn Hahn Jennifer Kluska, Derek Drymon Animation Comedy Family Fantasy Adventure"
16,Shattered,Thriller,Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Cameron Monaghan Frank Grillo Lilly Krug Luis Prieto Thriller
17,The Royal Treatment,Romance Comedy,Rick Jacobson,Laura Marano,Mena Massoud,,
18,Redeeming Love,Romance Drama History,D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Abigail Cowen Tom Lewis Logan Marshall-Green D.J. Caruso Romance Drama History
19,The King's Daughter,Fantasy Adventure Family,Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Pierce Brosnan Kaya Scodelario Benjamin Walker Sean McNamara Fantasy Adventure Family
20,The Tiger Rising,Adventure Family,Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,Christian Convery Dennis Quaid Queen Latifah Ray Giarratana Adventure Family
21,Hellblazers,Horror Action,Justin Lee,Bruce Dern,Billy Zane,Tony Todd,Bruce Dern Billy Zane Tony Todd Justin Lee Horror Action
22,The Fallout,Drama,Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch,Jenna Ortega Maddie Ziegler Niles Fitch Megan Park Drama
23,Home Team,Family Comedy,"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,"Kevin James Taylor Lautner Rob Schneider Charles Kinnane, Daniel Kinnane Family Comedy"
24,The Ice Age Adventures of Buck Wild,Animation Comedy Adventure Family,John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,Simon Pegg Utkarsh Ambudkar Justina Machado John C. Donkin Animation Comedy Adventure Family
25,Clean,Crime,Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson,Adrien Brody Glenn Fleshler Mykelti Williamson Paul Solet Crime
26,Sundown,Drama,Michel Franco,Tim Roth,Charlotte Gainsbourg,,
27,Jackass Forever,Comedy Documentary,Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Johnny Knoxville Steve-O Chris Pontius Jeff Tremaine Comedy Documentary
28,Moonfall,Science Fiction Adventure Action,Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,Halle Berry Patrick Wilson John Bradley Roland Emmerich Science Fiction Adventure Action
